C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2005;AT323;13203,0;38900,0;0,0;0,0;0,0
A10-2005;AT331;1076,0;33800,0;0,0;0,0;0,0
A10-2005;AT332;9651,0;35100,0;0,0;0,0;0,0
A10-2005;AT333;1142,0;22700,0;0,0;0,0;0,0
A10-2005;AT334;2650,0;26800,0;0,0;0,0;0,0
A10-2005;AT335;7319,0;31200,0;0,0;0,0;0,0
A10-2005;AT341;2853,0;32200,0;0,0;0,0;0,0
A10-2005;AT342;8581,0;31400,0;0,0;0,0;0,0
A10-2005;ATZZZ;117,0;0,0;0,0;0,0;0,0
A10-2005;AT11;5577,0;20000,0;49200,0;-0,1;-0,5
A10-2005;AT12;39284,0;24900,0;58200,0;2,0;1,2
A10-2005;AT13;66069,0;40200,0;73000,0;2,2;0,9
A10-2005;AT21;14570,0;26100,0;56200,0;0,3;0,1
A10-2005;AT22;32550,0;27200,0;55300,0;1,0;0,6
A10-2005;AT31;42806,0;30600,0;61800,0;3,7;3,2
A10-2005;AT32;18109,0;34600,0;62000,0;2,1;1,5
A10-2005;AT33;21838,0;31600,0;59900,0;4,7;3,9
A10-2005;AT34;11434,0;31600,0;65500,0;2,6;1,8
A10-2005;ATZZ;117,0;0,0;70500,0;3,3;0,0
A10-2005;AT1;110931,0;31700,0;65500,0;2,0;1,0
A10-2005;AT2;47121,0;26800,0;55600,0;0,8;0,5
A10-2005;AT3;94186,0;31700,0;61800,0;3,5;2,9
A10-2005;ATZ;117,0;0,0;70500,0;3,3;0,0
A10-2006;AT111;703,0;18800,0;0,0;0,0;0,0
A10-2006;AT112;3315,0;22900,0;0,0;0,0;0,0
A10-2006;AT113;1814,0;18600,0;0,0;0,0;0,0
A10-2006;AT121;5765,0;24000,0;0,0;0,0;0,0
A10-2006;AT122;5929,0;23600,0;0,0;0,0;0,0
A10-2006;AT123;4461,0;30400,0;0,0;0,0;0,0
A10-2006;AT124;4752,0;21400,0;0,0;0,0;0,0
A10-2006;AT125;1944,0;15700,0;0,0;0,0;0,0
A10-2006;AT126;6551,0;22400,0;0,0;0,0;0,0
A10-2006;AT127;11973,0;38800,0;0,0;0,0;0,0
A10-2006;AT130;69355,0;41900,0;0,0;0,0;0,0
A10-2006;AT211;8863,0;32500,0;0,0;0,0;0,0
A10-2006;AT212;2919,0;22400,0;0,0;0,0;0,0
A10-2006;AT213;3613,0;23100,0;0,0;0,0;0,0
A10-2006;AT221;15248,0;39700,0;0,0;0,0;0,0
A10-2006;AT222;2067,0;25500,0;0,0;0,0;0,0
A10-2006;AT223;5004,0;29300,0;0,0;0,0;0,0
A10-2006;AT224;5529,0;20600,0;0,0;0,0;0,0
A10-2006;AT225;4078,0;21400,0;0,0;0,0;0,0
A10-2006;AT226;2521,0;23700,0;0,0;0,0;0,0
A10-2006;AT311;6760,0;24600,0;0,0;0,0;0,0
A10-2006;AT312;23027,0;42500,0;0,0;0,0;0,0
A10-2006;AT313;3467,0;17000,0;0,0;0,0;0,0
A10-2006;AT314;5203,0;33900,0;0,0;0,0;0,0
A10-2006;AT315;6635,0;29000,0;0,0;0,0;0,0
A10-2006;AT321;464,0;22100,0;0,0;0,0;0,0
A10-2006;AT322;4725,0;29000,0;0,0;0,0;0,0
A10-2006;AT323;13990,0;41000,0;0,0;0,0;0,0
A10-2006;AT331;1115,0;35000,0;0,0;0,0;0,0
A10-2006;AT332;10101,0;36400,0;0,0;0,0;0,0
A10-2006;AT333;1210,0;24000,0;0,0;0,0;0,0
A10-2006;AT334;2786,0;28000,0;0,0;0,0;0,0
A10-2006;AT335;7846,0;33200,0;0,0;0,0;0,0
A10-2006;AT341;3069,0;34600,0;0,0;0,0;0,0
A10-2006;AT342;9016,0;32800,0;0,0;0,0;0,0
